短期预测湿度 shift 60,短期预测风速 shift 60,短期预测温度 shift 60,短期预测气压 shift 60,短期预测风向sin shift 60,短期预测风向cos shift 60,实际功率,实际风速,HourOfDay
50,7.2,18.8,1007,0.8571673007021122,0.5150380749100543,0.258767953,2.750484273,0
50,6.8,19.1,1007,0.9335804264972016,0.3583679495453004,-0.069716453,1.775067909,1
52,6.6,19.3,1006,0.984807753012208,0.1736481776669304,-0.111947949,1.226175818,2
54,6.5,19.5,1005,1.0,6.123233995736766e-17,-0.121689329,1.366714,3
55,6.2,19.7,1005,0.9945218953682734,-0.1045284632676533,-0.128820789,3.014783333,4
56,6.0,19.8,1005,0.9876883405951375,-0.156434465040231,-0.101292897,2.485476667,5
57,5.5,19.9,1005,0.9876883405951375,-0.156434465040231,-0.112002232,1.844587636,6
56,4.8,19.9,1006,0.992546151641322,-0.1218693434051473,-0.105627792,1.422058485,7
55,4.2,20.0,1006,0.9998476951563912,-0.0174524064372834,-0.105419819,0.937798636,8
54,3.7,20.1,1007,0.9945218953682732,0.1045284632676534,-0.118605194,1.622107121,9
55,3.4,20.2,1007,0.9563047559630354,0.2923717047227367,-0.099574858,1.900493818,10
59,3.3,20.0,1007,0.8386705679454239,0.5446390350150272,-0.066304973,2.551664515,11
67,3.5,19.6,1007,0.6560590289905072,0.754709580222772,0.19517979,3.456545758,12
73,4.4,19.0,1006,0.5150380749100542,0.8571673007021123,1.904163536,3.302186364,13
76,5.2,18.5,1006,0.4383711467890774,0.898794046299167,3.497489046,3.959367121,14
77,5.5,18.2,1006,0.4226182617406994,0.90630778703665,33.4769941,12.75366182,15
77,5.5,18.1,1005,0.4226182617406994,0.90630778703665,33.34671187,12.96850303,16
76,5.2,18.0,1005,0.4226182617406994,0.90630778703665,31.78928712,11.41129758,17
76,4.7,17.9,1005,0.4226182617406994,0.90630778703665,31.53041067,11.73312303,18
74,4.2,18.0,1006,0.4226182617406994,0.90630778703665,29.01729918,13.02355848,19
72,3.7,18.3,1006,0.5150380749100542,0.8571673007021123,30.86118989,10.50507848,20
67,3.4,18.9,1006,0.6819983600624985,0.7313537016191706,30.03770638,12.70939394,21
64,3.4,19.6,1006,0.8480480961564261,0.5299192642332049,29.43299172,10.59766394,22
62,3.4,20.2,1006,0.9563047559630354,0.2923717047227367,25.22319416,8.37665697,23
62,3.3,20.5,1006,0.9986295347545738,0.0523359562429439,10.67944423,5.870437576,0
64,3.3,20.7,1005,0.981627183447664,-0.1908089953765448,9.048814086,5.64998,1
67,3.4,20.8,1004,0.913545457642601,-0.4067366430758001,19.02418875,7.948844242,2
69,4.0,20.9,1003,0.8290375725550417,-0.5591929034707467,15.68888815,7.117306061,3
71,4.5,21.1,1002,0.766044443118978,-0.6427876096865394,4.142320041,4.239310303,4
73,5.1,21.3,1002,0.7313537016191706,-0.6819983600624984,3.07372907,4.295685455,5
74,5.2,21.4,1002,0.6819983600624985,-0.7313537016191705,4.909681763,4.597866364,6
75,5.2,21.5,1002,0.6427876096865395,-0.7660444431189779,5.643011848,4.627699091,7
75,5.0,21.7,1003,0.6156614753256584,-0.7880107536067219,3.722324423,4.244589697,8
75,4.3,21.9,1004,0.6427876096865395,-0.7660444431189779,8.471829647,4.967241212,9
76,3.5,21.9,1004,0.7193398003386514,-0.694658370458997,10.39817246,5.786008788,10
79,2.4,21.7,1004,0.8660254037844387,-0.4999999999999998,17.01354098,7.13526697,11
83,1.4,21.0,1004,0.9781476007338056,0.2079116908177594,10.08556153,5.483759091,12
86,1.4,20.5,1003,0.8660254037844386,0.5000000000000001,9.572281657,5.584851515,13
87,1.4,20.1,1003,0.8290375725550417,0.5591929034707468,6.12934345,5.159901212,14
87,1.5,19.9,1003,0.8829475928589269,0.4694715627858908,7.332177393,5.316637273,15
85,1.7,19.9,1002,0.9563047559630354,0.2923717047227367,6.357119461,5.160353939,16
83,1.9,20.2,1002,0.9876883405951378,0.1564344650402309,7.265489143,5.24484697,17
82,2.4,20.6,1002,0.9993908270190958,0.034899496702501,5.76941088,4.863022727,18
82,3.0,21.0,1003,0.9993908270190958,0.034899496702501,7.330099118,5.554139091,19
82,3.6,21.3,1003,0.9993908270190958,0.034899496702501,7.088979518,4.960093333,20
82,4.2,21.4,1003,0.9986295347545738,0.0523359562429439,9.290669536,5.469819091,21
81,4.5,21.4,1003,0.9975640502598242,0.0697564737441254,9.609222907,5.648920909,22
81,4.6,21.5,1003,0.9993908270190958,0.034899496702501,7.145514237,5.095998182,23
80,4.3,21.7,1003,0.9998476951563912,-0.0174524064372834,7.260136851,5.171477576,0
80,4.0,21.9,1002,0.984807753012208,-0.1736481776669303,4.227196401,4.403709697,1
80,3.9,22.0,1002,0.8987940462991669,-0.4383711467890775,3.938238071,4.369289394,2
80,4.3,22.1,1001,0.788010753606722,-0.6156614753256583,5.90813866,4.859729091,3
82,5.1,22.2,1001,0.6819983600624985,-0.7313537016191705,5.274050467,4.665302727,4
83,5.6,22.2,1000,0.6018150231520482,-0.7986355100472929,9.588448826,5.530558485,5
83,5.7,22.2,1000,0.5299192642332049,-0.848048096156426,6.517229249,5.084757576,6
84,5.3,22.3,1000,0.4383711467890773,-0.898794046299167,7.680015648,5.075178182,7
